name,address,hours,lat,lng,rating,district
Кантемировский,"Москва, Кантемировская улица, 47","ежедневно, 10:00–21:00",55.637715,37.656273,4.0,Южный административный округ
Смолл,"Москва, Каширское шоссе, 26Г","ежедневно, 08:00–21:00",55.654104,37.647524,3.9,Южный административный округ
Царицыно,"Москва, Луганская улица, 10","ежедневно, 10:00–22:00",55.622368,37.66768,4.8,Южный административный округ
Торговый центр,"Москва, Пролетарский проспект, 20, корп. 2",nan,55.633298,37.657859,4.0,Южный административный округ
Москворецкий,"Москва, Котляковская улица, 3, стр. 1",nan,55.643412,37.632641,4.9,Южный административный округ
Галерея,"Москва, улица Генерала Белова, 8","ежедневно, 09:00–22:00",55.620861,37.716791,4.2,Южный административный округ
Каширский Двор,"Москва, Каширское шоссе, 19, корп. 1","ежедневно, 09:00–21:00",55.664857,37.631936,4.7,Южный административный округ
Южный,"Москва, Кировоградская улица, 9, корп. 4",nan,55.62274,37.610659,4.3,Южный административный округ
Пролетарский 24,"Москва, Пролетарский проспект, 24Б","ежедневно, 09:00–22:00",55.632722,37.658736,4.4,Южный административный округ
Аркада,"Москва, Пролетарский проспект, 23А","ежедневно, 09:00–21:00",55.637123,37.655898,3.2,Южный административный округ
РадиоРынок Старк,"Москва, Луганская улица, 5","ежедневно, 08:00–23:00",55.626359,37.665955,3.7,Южный административный округ
Ореховский,"Москва, улица Маршала Захарова, 13, корп. 1","ежедневно, 09:00–20:00",55.62239,37.701721,4.9,Южный административный округ
MARi,"Москва, Поречная улица, 10","ежедневно, 10:00–22:00",55.649758,37.770157,4.8,Юго-Восточный административный округ
Бум,"Москва, улица Перерва, 43к1","ежедневно, 10:00–22:00",55.659712,37.749821,4.6,Юго-Восточный административный округ
БраVo!,"Москва, улица Борисовские Пруды, 26с2","ежедневно, 10:00–22:00",55.63901,37.758985,4.7,Южный административный округ
Торговый комплекс Л-153,"Москва, Люблинская улица, 153","ежедневно, 10:00–22:00",55.65871,37.741699,4.6,Юго-Восточный административный округ
Ключевой,"Москва, улица Борисовские Пруды, 26","ежедневно, 10:00–22:00",55.640044,37.758149,4.4,Южный административный округ
Мариэль,"Москва, Люблинская улица, 169, корп. 2","ежедневно, 10:00–22:00",55.649096,37.744894,4.3,Юго-Восточный административный округ
Братеевский,"Москва, Ключевая улица, 6к1","ежедневно, 08:00–23:00",55.637862,37.757582,4.9,Южный административный округ
